Nom histoire;Fréquence %;Sprite ID;;;;;;;;;;;
Epicier;1,69;1;;;;;;;;;;;
Narrator : The island is quite vast, you don’t see the end of it. Yet, it seems totally empty.;;;;;;;;;;;;;
CheckQuest=>debut;;;;;;;;;;;;;
[debut];;;;;;;;;;;;;
Narrator : On the beach : « A boire et à manger » is written on a wooden plannel;;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;;
Choice : (partir);Choice : (follow pannel direction);;;;;;;;;;;;
Leave;Fade;;;;;;;;;;;;
;Node=>marchand;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
[marchand];;;;;;;;;;;;;
NewCrew;;;;;;;;;;;;;
OtherSpeak : Hey traveller !;Node=>mort;Node=>combat;;;;;;;;;;;
[choix];;;;;;[choix autre];;;;;;[combat];
SetChoices4;;;;;;SetChoices3;;;;;;OtherSpeak : ?!?;
Choice : (partir);Choice : Show me what you sell (trade);Choice : The treasure of NOMTRESOR ?;;Choice : (autre);;Choice : Surrender the food ! (attaquer) ;Choice : All is good for you ?(quete);;;Choice : (autre);;LaunchCombat;
OtherSpeak : Bye  bye !;TradeFood;RandomPercent20;;Node=>choix autre;;Node=>combat;RandomPercent65;;;Node=>choix;;RemoveKarma;
Leave;Node=>choix;OtherSpeak : Only pirates from the DIRECTIONTOFORMULA are interrested;OtherSpeak : I haven’t heard about it;;;;OtherSpeak : You know what they say;NewQuest=>choix;;;;[mort];
;;Node=>choix;Node=>choix;;;;OtherSpeak : The bigger the laugh, the bigger the belly;;;;;PlayerSpeak : We killed the farmer !;
;;;;;;;Node=>choix;;;;;SetChoices2;
;;;;;;;;;;;;Choice : (partir);Choice : (search the farm)
;;;;;;;;;;;;Leave;LootFood
;;;;;;;;;;;;;Leave
